time,P,G(i),H_sun,T2m,WS10m,Int
20050114:0711,0.0,0.0,0.0,2.1,5.24,0.0
20050114:0811,318.0,50.8,6.19,2.38,5.1,0.0
20050114:0911,169.4,32.16,11.06,2.9,5.03,0.0
20050114:1011,120.0,25.54,14.05,3.41,5.86,0.0
20050114:1111,80.1,19.87,14.9,3.84,6.21,0.0
20050114:1211,73.6,18.92,13.54,4.25,6.07,0.0
20050114:1311,43.6,14.19,10.09,4.48,5.1,0.0
20050114:1411,4.1,6.62,4.83,4.21,4.34,0.0
20050114:1511,0.0,0.0,0.0,3.73,3.79,0.0
20050114:1611,0.0,0.0,0.0,3.11,3.45,0.0
20050114:1711,0.0,0.0,0.0,2.52,3.24,0.0
20050114:1811,0.0,0.0,0.0,2.2,3.1,0.0
20050114:1911,0.0,0.0,0.0,2.65,3.1,0.0
20050114:2011,0.0,0.0,0.0,2.79,2.97,0.0
20050114:2111,0.0,0.0,0.0,2.83,2.83,0.0
20050114:2211,0.0,0.0,0.0,2.78,2.69,0.0
20050114:2311,0.0,0.0,0.0,2.52,2.55,0.0
20050115:0011,0.0,0.0,0.0,2.26,2.34,0.0
20050115:0111,0.0,0.0,0.0,1.98,2.21,0.0
20050115:0211,0.0,0.0,0.0,1.67,2.14,0.0
20050115:0311,0.0,0.0,0.0,1.31,2.07,0.0
20050115:0411,0.0,0.0,0.0,0.71,2.07,0.0
20050115:0511,0.0,0.0,0.0,0.36,1.72,0.0
20050115:0611,0.0,0.0,0.0,-0.37,1.79,0.0
20050115:0711,0.0,0.0,0.0,0.27,1.45,0.0
20050115:0811,1191.1,149.46,6.32,0.33,1.59,0.0
20050115:0911,1340.5,163.8,11.21,0.62,1.59,0.0
20050115:1011,2699.9,311.7,14.22,1.07,1.52,0.0
20050115:1111,3321.7,381.39,15.09,1.48,1.59,0.0
20050115:1211,2333.8,272.59,13.73,1.71,1.72,0.0
20050115:1311,1043.0,132.54,10.29,1.84,1.93,0.0
20050115:1411,38.6,13.24,5.03,1.7,1.86,0.0
20050115:1511,0.0,0.0,0.0,1.2,1.45,0.0
20050115:1611,0.0,0.0,0.0,0.52,1.45,0.0
20050115:1711,0.0,0.0,0.0,0.2,1.31,0.0
20050115:1811,0.0,0.0,0.0,-0.19,1.31,0.0
20050115:1911,0.0,0.0,0.0,-1.05,1.59,0.0
20050115:2011,0.0,0.0,0.0,-1.62,1.66,0.0
20050115:2111,0.0,0.0,0.0,-1.59,1.66,0.0
20050115:2211,0.0,0.0,0.0,-1.96,1.93,0.0
20050115:2311,0.0,0.0,0.0,-1.94,2.0,0.0
20050116:0011,0.0,0.0,0.0,-1.63,1.93,0.0
20050116:0111,0.0,0.0,0.0,-1.62,2.0,0.0
20050116:0211,0.0,0.0,0.0,-1.66,2.21,0.0
20050116:0311,0.0,0.0,0.0,-1.58,2.41,0.0
20050116:0411,0.0,0.0,0.0,-1.38,2.55,0.0
20050116:0511,0.0,0.0,0.0,-1.16,2.55,0.0
20050116:0611,0.0,0.0,0.0,-1.03,2.69,0.0
20050116:0711,0.0,0.0,0.0,-1.17,2.83,0.0
20050116:0811,1338.0,164.19,6.45,-1.06,3.03,0.0
20050116:0911,1888.7,220.4,11.36,-0.63,4.07,0.0
20050116:1011,4922.0,550.41,14.39,-0.29,4.0,0.0
20050116:1111,5554.5,624.76,15.28,0.23,3.86,0.0
20050116:1211,5051.6,569.69,13.93,0.58,3.72,0.0
20050116:1311,4307.0,488.73,10.49,0.77,3.72,0.0
20050116:1411,1416.7,174.76,5.24,0.33,3.31,0.0
20050116:1511,0.0,0.0,0.0,-0.32,3.59,0.0
20050116:1611,0.0,0.0,0.0,-1.01,3.72,0.0
20050116:1711,0.0,0.0,0.0,-1.33,3.79,0.0
20050116:1811,0.0,0.0,0.0,-1.58,3.72,0.0
20050116:1911,0.0,0.0,0.0,-1.34,3.59,0.0
20050116:2011,0.0,0.0,0.0,-1.32,3.45,0.0
20050116:2111,0.0,0.0,0.0,-1.55,3.24,0.0
20050116:2211,0.0,0.0,0.0,-1.68,3.24,0.0
20050116:2311,0.0,0.0,0.0,-1.78,3.38,0.0
20050117:0011,0.0,0.0,0.0,-1.88,3.38,0.0
20050117:0111,0.0,0.0,0.0,-1.94,3.45,0.0
20050117:0211,0.0,0.0,0.0,-1.97,3.52,0.0
20050117:0311,0.0,0.0,0.0,-1.99,3.59,0.0
20050117:0411,0.0,0.0,0.0,-1.99,3.66,0.0
20050117:0511,0.0,0.0,0.0,-1.93,3.66,0.0
20050117:0611,0.0,0.0,0.0,-1.95,3.59,0.0
20050117:0711,0.0,0.0,0.0,-1.53,3.72,0.0
20050117:0811,0.7,5.68,6.6,-1.11,3.72,0.0
20050117:0911,3483.3,392.79,11.52,-0.27,3.66,0.0
20050117:1011,4554.9,512.95,14.57,0.7,3.52,0.0
20050117:1111,634.5,87.32,15.47,1.76,3.79,0.0
20050117:1211,305.3,49.19,14.14,2.38,3.66,0.0
20050117:1311,127.3,26.49,10.7,2.52,3.45,0.0
20050117:1411,8.4,7.57,5.44,2.31,3.59,0.0
20050117:1511,0.0,0.0,0.0,1.81,3.52,0.0
20050117:1611,0.0,0.0,0.0,1.29,3.59,0.0
20050117:1711,0.0,0.0,0.0,1.13,3.72,0.0
20050117:1811,0.0,0.0,0.0,1.08,3.79,0.0
20050117:1911,0.0,0.0,0.0,0.56,3.66,0.0
20050117:2011,0.0,0.0,0.0,0.39,3.79,0.0
20050117:2111,0.0,0.0,0.0,0.17,3.93,0.0
20050117:2211,0.0,0.0,0.0,0.11,4.14,0.0
20050117:2311,0.0,0.0,0.0,0.53,4.34,0.0
20050118:0011,0.0,0.0,0.0,0.96,4.48,0.0
20050118:0111,0.0,0.0,0.0,1.38,4.62,0.0
20050118:0211,0.0,0.0,0.0,1.58,4.62,0.0
20050118:0311,0.0,0.0,0.0,1.57,4.62,0.0
20050118:0411,0.0,0.0,0.0,1.07,4.69,0.0
20050118:0511,0.0,0.0,0.0,0.64,4.9,0.0
20050118:0611,0.0,0.0,0.0,0.5,5.1,0.0
20050118:0711,0.0,0.0,0.0,1.21,5.45,0.0
20050118:0811,0.0,4.73,6.75,1.88,5.59,0.0
20050118:0911,373.7,57.39,11.69,2.84,5.79,0.0
20050118:1011,538.8,76.93,14.76,3.68,5.24,0.0
20050118:1111,1102.8,139.93,15.67,4.22,4.76,0.0
20050118:1211,428.6,64.33,14.35,4.26,4.9,0.0
20050118:1311,119.3,25.54,10.91,4.46,5.52,0.0
20050118:1411,43.6,14.19,5.66,4.37,5.17,0.0
20050118:1511,0.0,0.0,0.0,4.03,4.9,0.0
20050118:1611,0.0,0.0,0.0,3.9,4.83,0.0
20050118:1711,0.0,0.0,0.0,3.79,4.76,0.0
20050118:1811,0.0,0.0,0.0,3.62,4.62,0.0
20050118:1911,0.0,0.0,0.0,2.89,3.86,0.0
20050118:2011,0.0,0.0,0.0,2.83,3.59,0.0
20050118:2111,0.0,0.0,0.0,2.79,3.52,0.0
20050118:2211,0.0,0.0,0.0,2.8,3.52,0.0
20050118:2311,0.0,0.0,0.0,2.8,3.45,0.0
20050119:0011,0.0,0.0,0.0,2.74,3.38,0.0
20050119:0111,0.0,0.0,0.0,2.55,3.17,0.0
20050119:0211,0.0,0.0,0.0,2.5,2.9,0.0
20050119:0311,0.0,0.0,0.0,2.35,2.76,0.0
20050119:0411,0.0,0.0,0.0,2.1,2.55,0.0
20050119:0511,0.0,0.0,0.0,1.73,2.28,0.0
20050119:0611,0.0,0.0,0.0,1.52,2.14,0.0
20050119:0711,0.0,0.0,0.0,1.34,2.14,0.0
20050119:0811,0.0,4.73,6.91,1.12,2.48,0.0
20050119:0911,44.5,14.19,11.87,1.08,2.69,0.0
20050119:1011,483.7,70.0,14.95,1.18,3.52,0.0
20050119:1111,532.7,75.68,15.88,1.4,4.21,0.0
20050119:1211,2956.8,337.64,14.56,1.75,4.34,0.0
